Area,Name,Category,Typical Closing Time,Address,Phone,Website,Driving Distance,Google Maps Driving Link,Vibe Tags,Latitude,Longitude
Bishop Arts,The Davis Street Dive,Dive Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=The+Davis+Street+Dive+Bishop+Arts+Dallas&travelmode=driving,"drinks, social, dive, casual, neighborhood-gem",32.7622,-96.8085
Lower Greenville,Greenville Avenue Tavern,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=Greenville+Avenue+Tavern+Lower+Greenville+Dallas&travelmode=driving,"drinks, social, late-night",32.7957,-96.7865
Lower Greenville,The Truck Yard Social,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=The+Truck+Yard+Social+Lower+Greenville+Dallas&travelmode=driving,"drinks, social, chill",32.7992,-96.7875
Lower Greenville,Late Night Taco Joint,Restaurant,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=Late+Night+Taco+Joint+Lower+Greenville+Dallas&travelmode=driving,"food-focused, late-eats, casual",32.7972,-96.7885
Knox-Henderson,The Henderson Social,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=The+Henderson+Social+Knox-Henderson+Dallas&travelmode=driving,"drinks, social, trendy",32.7907,-96.7915
Knox-Henderson,Knox Street Wine Bar,Wine Bar,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=Knox+Street+Wine+Bar+Knox-Henderson+Dallas&travelmode=driving,"date-friendly, drinks, chill, wine-bar, trendy",32.7942,-96.7925
Design District,The Dragon Road Lounge,Lounge,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=The+Dragon+Road+Lounge+Design+District+Dallas&travelmode=driving,"drinks, chill, social, date-friendly",32.7807,-96.8115
Design District,District Brewing Co.,Brewery / Taproom,11:00 PM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=District+Brewing+Co.+Design+District+Dallas&travelmode=driving,"drinks, chill, social, brewery, casual",32.7842,-96.8125
Oak Lawn,The Cedar Springs Social,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=The+Cedar+Springs+Social+Oak+Lawn+Dallas&travelmode=driving,"drinks, social, late-night, lgbtq-friendly",32.7857,-96.8065
Oak Lawn,The Round-Up Dance Hall,Bar / Club,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=The+Round-Up+Dance+Hall+Oak+Lawn+Dallas&travelmode=driving,"dancey, drinks, social, high-energy, lgbtq-friendly",32.7892,-96.8075
Downtown Dallas,The Adolphus Cocktail Room,Cocktail Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=The+Adolphus+Cocktail+Room+Downtown+Dallas&travelmode=driving,"date-friendly, drinks, upscale, craft-cocktails",32.7757,-96.7965
Downtown Dallas,Main Street Sports Pub,Sports Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=Main+Street+Sports+Pub+Downtown+Dallas&travelmode=driving,"drinks, social, loud, sports-bar, casual",32.7792,-96.7975
Lakewood,The Lakewood Landing Social,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=The+Lakewood+Landing+Social+Lakewood+Dallas&travelmode=driving,"drinks, social, chill",32.7957,-96.7765
Lakewood,Garland Road Brewing,Brewery / Taproom,11:00 PM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=Garland+Road+Brewing+Lakewood+Dallas&travelmode=driving,"drinks, chill, social, brewery, casual",32.7992,-96.7775
Trinity Groves,The Bridge Bar,Bar / Restaurant,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=The+Bridge+Bar+Trinity+Groves+Dallas&travelmode=driving,"drinks, food-focused, social, chill",32.7707,-96.8165
Victory Park,The Victory Tap,Sports Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=The+Victory+Tap+Victory+Park+Dallas&travelmode=driving,"drinks, social, loud, sports-bar, casual",32.7807,-96.8045
Cedar Springs,The Strip Social,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=The+Strip+Social+Cedar+Springs+Dallas&travelmode=driving,"drinks, social, late-night, lgbtq-friendly",32.7877,-96.8045
Cedar Springs,Throckmorton Karaoke,Karaoke,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=Throckmorton+Karaoke+Cedar+Springs+Dallas&travelmode=driving,"group-fun, interactive, karaoke, lgbtq-friendly",32.7912,-96.8055
Deep Ellum,The Free Man Sounds,Music Venue / Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=The+Free+Man+Sounds+Deep+Ellum+Dallas&travelmode=driving,"drinks, live-music, social, hipster, trendy",32.7737,-96.785
Lower Greenville,The Meridian Room Social,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=The+Meridian+Room+Social+Lower+Greenville+Dallas&travelmode=driving,"drinks, social, chill",32.7952,-96.7895
